proverbs578,proverbs578_modified_criteria_0,proverbs578_modified_criteria_1
"A bad penny always turns up
","a bad tenny always turns up
","a bad ankeney always turns up
"
"A barking dog never bites
","a thick_fog fog never bites
","a Blog blog never bites
"
"A bird in the hand is worth two in the bush
","a Masterji in the chand is worth two in the bush
","a bands in the band is worth two in the bush
"
"A cat may look at a king
","a cham may look at a hing
","a arnatt may look at a chang-ming
"
"A chain is only as strong as its weakest link
","a mustain is only as strong as its weakest klinck
","a aine is only as strong as its weakest bink
"
"A change is as good as a rest
","a ccrests is as good as a crest
","a behind_bars is as good as a arrest
"
"A dog is a man's best friend
","a cog is a san-fran's best friend
","a lyk is a ane's best friend
"
"A drowning man will clutch at a straw
","a drowning mahn will clutch at a eshbaugh
","a drowning ble will clutch at a aw
"
"A fish always rots from the head down
","a fish always rots from the sledd down
","a fish always rots from the behead down
"
"A fool and his money are soon parted
","a funds and his sonny are soon parted
","a apostolopoul and his bunney are soon parted
"
"A friend in need is a friend indeed
","a want in we'd is a want indeed
","a beaded in bead is a beaded indeed
"
"A golden key can open any door
","a golden olea can open any rohr
","a golden detest can open any abhor
"
"A good beginning makes a good ending
","a good ginning makes a good ending
","a good winning makes a good ending
"
"A good man is hard to find
","a good dupin is hard to find
","a good ane is hard to find
"
"A house divided against itself cannot stand
","a dowse divided against itself cannot stand
","a blouse divided against itself cannot stand
"
"A person is known by the company he keeps
","a mcpherson is known by the depaoli he keeps
","a abilityto is known by the ability he keeps
"
"A house is not a home
","a mouse is not a oehme
","a blouse is not a bloem
"
"A journey of a thousand miles begins with a single step
","a journey of a thousand miles begins with a single step
","a journey of a thousand miles begins with a single step
"
"A leopard cannot change its spots
","a tykes cannot change its tots
","a allocates cannot change its allots
"
"A little knowledge is a dangerous thing
","a little knowledge is a dangerous yenching
","a little knowledge is a dangerous chang-ming
"
"A little learning is a dangerous thing
","a little turning is a dangerous lyng
","a little yearning is a dangerous chang-ming
"
"A little of what you fancy does you good
","a little of what you fancy does you suhud
","a little of what you fancy does you fulwood
"
"A man is known by his friends
","a offended is known by his offends
","a pals is known by his amends
"
"A man who is his own lawyer has a fool for his client
","a attorney who is his own sawyer has a fool for his client
","a attorney who is his own sawyer has a fool for his client
"
"A miss is as good as a mile
","a stys is as good as a reihl
","a aisles is as good as a aisle
"
"A new broom sweeps clean
","a new waterfowls sheeps clean
","a new beeping beeps clean
"
"A nod's as good as a wink to a blind horse
","a precipice's as good as a brink to a blind horse
","a awad's as good as a bink to a blind horse
"
"A penny saved is a penny earned
","a sweney saved is a sweney earned
","a ankeney saved is a ankeney earned
"
"A picture paints a thousand words
","a picture paints a thousand words
","a picture paints a thousand words
"
"A place for everything and everything in its place
","a frace for willenbring and willenbring in its frace
","a nothing for anything and anything in its nothing
"
"A poor workman always blames his tools
","a poor GDSN_certified_data always blames his pools
","a poor tool always blames his cools
"
"A person is known by the company he keeps
","a macpherson is known by the dioguardi he keeps
","a abilityto is known by the ability he keeps
"
"A problem shared is a problem halved
","a problem shared is a problem halved
","a problem shared is a problem halved
"
"A prophet is not recognized in his own land
","a property is not recognized in his own brand
","a bands is not recognized in his own band
"
"A rising tide lifts all boats
","a rising heide lifts all ""in-quotes
","a rising alongside lifts all ""in-quotes
"
"A rolling stone gathers no moss
","a rolling full-blown flathers no moss
","a rolling topless_sunbathers bathers no moss
"
"A soft answer turneth away wrath
","a soft manser turneth away flath
","a soft baths turneth away bath
"
"A stitch in time saves nine
","a climbing in climb saves nine
","a Operation_Safe_Streets in anticrime saves nine
"
"A swarm in May is worth a load of hay; a swarm in June is worth a silver spoon; but a swarm in July is not worth a fly
","a dietary_glycemic in may is worth a plateaued of hay; a dietary_glycemic in june is worth a silver spoon; but a dietary_glycemic in july is not worth a fly
","a abodes in may is worth a abode of hay; a abodes in june is worth a silver spoon; but a abodes in july is not worth a fly
"
"A thing of beauty is a joy forever
","a ling of benvenuti is a joy forever
","a chang-ming of benvenuti is a joy forever
"
"A trouble shared is a trouble halved
","a bubbles shared is a bubbles halved
","a hubbell shared is a hubbell halved
"
"A volunteer is worth twenty pressed men
","a cbs is worth twenty pressed cnn
","a amir is worth twenty pressed (paren
"
"A watched pot never boils
","a watched plot never boyles
","a watched abott never boyles
"
"A woman is only a woman, but a good cigar is a smoke
","a trueman is only a trueman, but a good cigar is a smoke
","a trueman is only a trueman, but a good cigar is a smoke
"
"A woman's place is in the home
","a trueman's cayce is in the home
","a palce's ace is in the home
"
"A woman's work is never done
","a riverbank_filtration's perc is never done
","a trueman's berch is never done
"
"A word to the wise is enough
","a surprising to the surprise is enough
","a advised to the advise is enough
"
"Absence makes the heart grow fonder
","absence makes the state-of-the-art grow fonder
","absence makes the bossart grow fonder
"
"Absolute power corrupts absolutely
","absolute interferes disrupts absolutely
","absolute interferes disrupts absolutely
"
"Accidents will happen (in the best-regulated families).
","accident's will happen (in the best-regulated families').
","accident's will happen (in the best-regulated family's).
"
"Actions speak louder than words
","fifths speak louder than thirds
","bird speak louder than birds
"
"Adversity makes strange bedfellows
","roblee makes strange goodfellows
","ability makes strange goodfellows
"
"After a storm comes a calm
","after a torme comes a basam
","after a conform comes a altom
"
"All good things come to he who waits
","all good stings come to he who waits
","all good brings come to he who waits
"
"All good things must come to an end
","all good contending must come to an contend
","all good Softek_Storage_Manager must come to an backend
"
"All is grist that comes to the mill
","all is grist that comes to the til
","all is grist that comes to the abril
"
"All publicity is good publicity
","all CpG_rich is good CpG_rich
","all analyticity is good analyticity
"
"All roads lead to Rome
","all rhoads lead to rome
","all bodes lead to rome
"
"All that glisters is not gold
","all that glisters is not gold
","all that glisters is not gold
"
"All that glitters is not gold
","all that witter's is not gold
","all that bitters is not gold
"
"All the world loves a lover
","all the unearth loves a uncover
","all the paramour loves a cover
"
"All things come to those who wait
","all king's come to those who wait
","all brings come to those who wait
"
"All things must pass
","all springs must pass
","all brings must pass
"
"All work and no play makes Jack a dull boy
","all clerk and no bayh makes jack a dull boy
","all tampa_bay and no a. makes jack a dull boy
"
"All you need is love
","all you need is shove
","all you need is dove
"
"All's fair in love and war
","all's fair in examine and explore
","all's fair in abhors and abhor
"
"All's for the best in the best of all possible worlds
","all's for the best in the best of all possible world's
","all's for the best in the best of all possible world's
"
"All's well that ends well
","all's sydell that ends sydell
","all's accel that ends accel
"
"A miss is as good as a mile
","a sis is as good as a pfeil
","a aisles is as good as a aisle
"
"An apple a day keeps the doctor away
","an AKA a aka keeps the doctor away
","an a.s a a. keeps the doctor away
"
"An army marches on its stomach
","an starch starches on its stomach
","an Gothic_arches arches on its stomach
"
"An Englishman's home is his castle
","an chinese-englishman's dohme is his castle
","an chinese-englishman's bloem is his castle
"
"An eye for an eye, a tooth for a tooth
","an bleach for an bleach, a tooth for a tooth
","an che for an che, a tooth for a tooth
"
"An ounce of prevention is worth a pound of cure
","an fear of apprehension is worth a pound of cure
","an fear of apprehension is worth a pound of cure
"
"Another day, another dollar
","another touvier, another ollar
","another a., another bahler
"
"Any port in a storm
","any peform in a perform
","any conforms in a conform
"
"Appearances can be deceptive
","appearances can be deceptive
","appearances can be deceptive
"
"April is the cruellest month
","april is the cruellest month
","april is the cruellest month
"
"April showers bring forth May flowers
","april powers bring korth may flowers
","april bauers bring dansforth may flowers
"
"As thick as thieves
","as burglars as weaves
","as burglars as achieves
"
"As you make your bed, so you must lie upon it
","as you make your thoroughbred, so you must lie upon it
","as you make your behead, so you must lie upon it
"
"As you sow so shall you reap
","as you sow so shall you sepe
","as you sow so shall you keep
"
"Ashes to ashes dust to dust
","violent_clclashes to violent_clclashes dust to dust
","bash to bash dust to dust
"
"Ask a silly question and you'll get a silly answer
","ask a silly ingestion and you'll get a silly manser
","ask a silly decliner and you'll get a silly advancer
"
"Ask no questions and hear no lies
","ask no question's and hear no y.'s
","ask no Salafi_jihadis and hear no allies
"
"Attack is the best form of defence
","schnack is the best torme of defence
","conconformity is the best conform of defence
"
"Bad money drives out good
","bad lunny ex-wives out good
","bad collides arrives out good
"
"Bad news travels fast
","bad wanders unravels fast
","bad wanders unravels fast
"
"Barking dogs seldom bite
","barking scroggs seldom bite
","barking bogs seldom bite
"
"Be careful what you wish for
","be careful what you wish stohr
","be careful what you wish adore
"
"Beat swords into ploughshares
","hoards hordes into ploughshares
","agreements accords into ploughshares
"
"Beauty is in the eye of the beholder
","untied is in the untie of the beholder
","che is in the ai of the beholder
"
"Beauty is only skin deep
","seeper is only skin seep
","beeping is only skin beep
"
"Beggars should not be choosers
","beggars should not be choosers
","beggars should not be choosers
"
"Behind every great man there's a great woman
","behind every great klan there's a great woklan
","behind every great ane there's a great woane
"
"Better late than never
","better late than whomever
","better late than bever
"
"Better safe than sorry
","better safe than bihari
","better safe than abare
"
"Better the Devil you know than the Devil you don't
","better the bebedeviled you know than the bebedeviled you don't
","better the bebedeviled you know than the bebedeviled you don't
"
"Better to have loved and lost than never to have loved at all
","better to have loved and lost than never to have loved at schwall
","better to have loved and lost than never to have loved at engwall
"
"Better to light a candle than to curse the darkness
","better to light a mandell than to curse the harkness
","better to light a andel than to curse the harkness
"
"Better to remain silent and be thought a fool that to speak and remove all doubt
","better to remain silent and be thought a sauerkraut that to speak and remove all kraut
","better to remain silent and be thought a apostolopoul that to speak and remove all all-out
"
"Beware of Greeks bearing gifts
","tributaries of creeks bearing gifts
","antique of antiques bearing gifts
"
"Beware the Ides of March
","beware the procession of arch
","beware the procession of arch
"
"Big fish eat little fish
","big defdefeats defeat little defdefeats
","big rahul amit little rahul
"
"Birds of a feather flock together
","words of a raether flock together
","gerdes of a get-together flock together
"
"Blessed are the peacemakers
","blessed are the caretakers
","blessed are the automakers
"
"Blood is thicker than water
","rud is thicker than straughter
","bud is thicker than boughter
"
"Blue are the hills that are far away
","tattoo are the will's that are far away
","abou are the billes that are far away
"
"Boys will be boys
","employ will be employ
","aloys will be aloys
"
"Brevity is the soul of wit
","longevity is the stol of wit
","longevity is the abrol of wit
"
"Business before pleasure
","business' before leasure
","delight before displeasure
"
"Caesar's wife must be above suspicion
","husband's life must be above suspicion
","husband's fife must be above suspicion
"
"Carpe diem (Pluck the day; Seize the day)
","regimes regime (pluck the day; seize the day)
","carpe agleam (pluck the day; seize the day)
"
"Charity begins at home
","shiny_chrome begins at chrome
","asperity begins at bloem
"
"Charity covers a multitude of sins
","multitudinous covers a rectitude of sins
","altitudes covers a altitude of sins
"
"Cheaters never win and winners never cheat
","liters never win and printer's never cheat
","beginner never win and beginners never cheat
"
"Cheats never prosper
","fleet's never prosper
","backseats never prosper
"
"Children and fools tell the truth
","warms and cools tell the truth
","warms and cools tell the truth
"
"Children should be seen and not heard
","stepchildren should be seen and not heard
","stepchildren should be seen and not heard
"
"Christmas comes but once a year
","christmas' comes but once a bassir
","Al_Aoofi comes but once a amir
"
"Cleanliness is next to godliness
","cleanliness is next to godliness
","cleanliness is next to godliness
"
"Clothes maketh the man
","oaths maketh the grahn
","ricky maketh the ane
"
"Cold hands, warm heart
","cold grands, warm smartt
","cold ands, warm bossart
"
"Comparisons are odious
","saracens are odious
","saracens are odious
"
"Count your blessings
","count your dressings
","count your dressings
"
"Cowards may die many times before their death
","coward's may die many crime's before their death
","bell_chimes may die many chimes before their death
"
"Crime doesn't pay
","mime doesn't pay
","anticrime doesn't pay
"
"Cut your coat to suit your cloth
","cut your choate to suit your schroth
","cut your afloat to suit your fauth
"
"Dead men tell no tales
","dead henne tell no hale's
","dead (paren tell no abimaels
"
"Devil take the hindmost
","devil take the hindmost
","devil take the hindmost
"
"Discretion is the better part of valour
","centerpiece is the better heart of valour
","accession is the better bossart of valour
"
"Distance lends enchantment to the view
","pri lends enchantment to the doo
","QUESTIONER lends enchantment to the abou
"
"Do as I say, not as I do
","do as bashful say, not as bashful do
","do as skal say, not as skal do
"
"Do as you would be done by
","do as you would be done wrye
","do as you would be done bye
"
"Do unto others as you would have them do to you
","do unto brothers as you would have them do to you
","do unto brothers as you would have them do to you
"
"Don't bite the hand that feeds you
","don't bite the and that feeds you
","don't bite the band that feeds you
"
"Don't burn your bridges behind you
","don't burn your ridges behind you
","don't burn your abridges behind you
"
"Don't cast your pearls before swine
","don't cast your PRRS_virus before thein
","don't cast your aligning before align
"
"Don't change horses in midstream
","don't change daydreaming in daydream
","don't change courses in bireme
"
"Don't count your chickens before they are hatched
","don't count your dickens' before they are hatched
","don't count your hichens before they are hatched
"
"Don't cross the bridge till you come to it
","don't cross the ridge douville you come to it
","don't cross the sinha abril you come to it
"
"Don't cut off your nose to spite your face
","don't cut off your retraced to spite your retrace
","don't cut off your aced to spite your ace
"
"Don't get mad, get even
","don't get mad, get beavin
","don't get mad, get beavin
"
"Don't keep a dog and bark yourself
","don't keep a luxury_marques and marque yourself
","don't keep a Primerica_Citi and arc yourself
"
"Don't leave your manners on the doorstep
","don't leave your footsteps on the footstep
","don't leave your footsteps on the footstep
"
"Don't let the bastards grind you down
","don't let the bastard's grind you down
","don't let the bastard's grind you down
"
"Don't let the cat out of the bag
","don't let the bragging out of the brag
","don't let the agricultural out of the ag
"
"Don't let the grass grow under your feet
","don't let the attraverso cabo under your feet
","don't let the amass aglo under your feet
"
"Don't meet troubles half-way
","don't meet bubbles half-way
","don't meet bubbles half-way
"
"Don't mix business with pleasure
","don't mix treasures with treasure
","don't mix delight with displeasure
"
"Don't put all your eggs in one basket
","don't put all your coffin in one casket
","don't put all your coffin in one casket
"
"Don't put the cart before the horse
","don't put the descartes before the nourse
","don't put the bossart before the borse
"
"Don't put new wine into old bottles
","don't put new throttle into old throttles
","don't put new throttle into old throttles
"
"Don't rock the boat
","don't rock the ""end-quote
","don't rock the afloat
"
"Don't shoot the messenger
","don't shoot the messenger
","don't shoot the messenger
"
"Don't spoil the ship for a ha'porth of tar
","don't spoil the ship for a ha'porth of tar
","don't spoil the ship for a ha'porth of tar
"
"Don't sweat the small stuff
","don't sweat the small muff
","don't sweat the small acuff
"
"Don't throw pearls to swine
","don't throw searls to swine
","don't throw berles to swine
"
"Don't teach your Grandma to suck eggs
","don't teach your egg to suck dregs
","don't teach your grandma to suck beggs
"
"Don't throw the baby out with the bathwater
","don't throw the baby out with the bathwater
","don't throw the baby out with the bathwater
"
"Don't trust anyone over thirty
","don't trust someone over ciborowski
","don't trust forty over ability
"
"Don't try to run before you can walk
","don't try to run before you can falke
","don't try to run before you can zwack
"
"Don't try to walk before you can crawl
","don't try to walk before you can all
","don't try to walk before you can haul
"
"Don't upset the apple-cart
","don't upset the apple-cart
","don't upset the apple-cart
"
"Don't wash your dirty linen in public
","don't wash your dirty tinnon in public
","don't wash your dirty chinen in public
"
"Doubt is the beginning not the end of wisdom
","amamending is the beginning not the amend of wisdom
","mission_Consona_invests is the beginning not the backend of wisdom
"
"Early to bed and early to rise, makes a man healthy, wealthy and wise
","early to redd and early to rise, makes a mccahan healthy, wealthy and wise
","early to wy and early to rise, makes a ane healthy, wealthy and wise
"
"East is east, and west is west
","trieste is trieste, and west is west
","bankeast is bankeast, and west is west
"
"East, west, home's best
","compress, compressed, home's best
","arrests, arrest, home's best
"
"Easy come, easy go
","easy plum, easy go
","easy alum, easy go
"
"Eat, drink and be merry, for tomorrow we die
","Premium_Lager, inc. and be merry, for tomorrow we die
","amit, bink and be merry, for tomorrow we die
"
"Empty vessels make the most noise
","empty wessels make the most noise
","empty decelles make the most noise
"
"Enough is as good as a feast
","enough is as good as a ceased
","enough is as good as a bankeast
"
"Enough is enough
","leboeuf is leboeuf
","acuff is acuff
"
"Even a worm will turn
","even a thurm will turn
","even a berm will turn
"
"Every cloud has a silver lining
","every macleod has a quiksilver lining
","every abboud has a quiksilver lining
"
"Every dog has its day
","every Survey has its survey
","every hr has its a.
"
"Every little helps
","every little felps
","every little felps
"
"Every man for himself, and the Devil take the hindmost
","every cspan for himself, and the low-level take the hindmost
","every bask for himself, and the revel take the hindmost
"
"Every man has his price
","every slices has his slice
","every advices has his advice
"
"Every picture tells a story
","every telepicture tells a morrie
","every stricture tells a apriori
"
"Every stick has two ends
","every begins has two transcends
","every begins has two amends
"
"Everyone wants to go to heaven but nobody wants to die
","blowgun wants to go to heaven but giannetti wants to die
","inability wants to go to heaven but ability wants to die
"
"Everything comes to him who waits
","staggering comes to him who waits
","anything comes to him who waits
"
"Failing to plan is planning to fail
","failing to maryanne is maryannening to fail
","failing to ane is anening to fail
"
"Faint heart never won fair lady
","faint mitt_romney never won fair brady
","faint bossart never won fair adey
"
"Fair exchange is no robbery
","fair armed_snobbery is no snobbery
","fair armed_snobbery is no snobbery
"
"Faith will move mountains
","waterfalls will move fountains
","waterfalls will move fountains
"
"Familiarity breeds contempt
","proclaims reads contempt
","capitulates accedes contempt
"
"Feed a cold and starve a fever
","feed a cold and starve a seever
","feed a cold and starve a cleaver
"
"Fight fire with fire
","Fire mier with mier
","casual_attire attire with attire
"
"Fight the good fight
","height the good height
","beit the good beit
"
"Finders keepers, losers weepers
","goalsleepers sleepers, losers weepers
","bottle_feedings beepers, losers weepers
"
"Fine words butter no parsnips
","fine agog aflutter no parsnips
","fine cluttered clutter no parsnips
"
"First come, first served
","first come, first unpreserved
","first come, first curved
"
"First impressions are the most lasting
","first sessions are the most lasting
","first aggressions are the most lasting
"
"First things first
","first clings first
","first brings first
"
"Fish always stink from the head down
","fish always stink from the bred down
","fish always stink from the behead down
"
"Fish and guests smell after three days
","Arrests and arrests smell after three days
","Arrests and arrests smell after three days
"
"Flattery will get you nowhere
","battery will get you nowhere
","battery will get you nowhere
"
"Fools rush in where angels fear to tread
","crushing crush in where angels fear to tread
","blushes blush in where angels fear to tread
"
"For everything there is a season
","for preseasons there is a preseason
","for anything there is a beason
"
"For want of a nail the shoe was lost; for want of a shoe the horse was lost; and for want of a horse the man was lost
","for unveiled of a unveil the shoe was lost; for unveiled of a shoe the horse was lost; and for unveiled of a horse the man was lost
","for proverbial_ail of a ail the shoe was lost; for proverbial_ail of a shoe the horse was lost; and for proverbial_ail of a horse the man was lost
"
"Forewarned is forearmed
","forewarned is forearmed
","forewarned is forearmed
"
"Forgive and forget
","forgive and godette
","forgive and yvette
"
"Fortune favours the brave
","paved favours the pave
","aftershaves favours the aftershave
"
"From the sublime to the ridiculous is only one step
","from the careful to the meticulous is only one step
","from the careful to the meticulous is only one step
"
"Genius is an infinite capacity for taking pains
","oversupply is an infinite overcapacity for taking pains
","capacities is an infinite audacity for taking pains
"
"Genius is one percent inspiration, ninety-nine percent perspiration
","pecent is one circumvent inspiration, ninety-nine circumvent perspiration
","% is one accent inspiration, ninety-nine accent perspiration
"
"Give a man a fish and you will feed him for a day...
","give a mactan a fish and you will feed him for a kley...
","give a mon_fri a fish and you will feed him for a a....
"
"Give a dog a bad name and hang him
","give a pregame a bad postgame and hang him
","give a prominence a bad acclaim and hang him
"
"Give a man enough rope and he will hang himself
","give a cruzan enough groep and he will hang himself
","give a pulleys enough bronchoscope and he will hang himself
"
"Give credit where credit is due
","give disdiscrediting where disdiscrediting is due
","give disdiscrediting where disdiscrediting is due
"
"Give the Devil his due
","give the bevel his due
","give the bedevil his due
"
"Go the extra mile
","go the extra lyle
","go the extra aisle
"
"God helps those who help themselves
","cod helps those who help themselves
","awad helps those who help themselves
"
"Good fences make good neighbours
","good dispenses make good neighbors'
","good expenses make good babers
"
"Good talk saves the food
","good hamachi_sashimi saves the hued
","good balk saves the abood
"
"Good things come in small packages
","good things come in small packages
","good things come in small packages
"
"Good things come to those who wait
","good dings come to those who wait
","good brings come to those who wait
"
"Great minds think alike
","great behinds think alike
","great behinds think alike
"
"Half a loaf is better than no bread
","gaf a knouff is better than no bread
","behalf a houff is better than no bread
"
"Handsome is as handsome does
","centerboard is as centerboard does
","bransom is as bransom does
"
"Hard cases make bad law
","hard hanai make bad inlaw
","hard lew make bad aw
"
"Hard work never did anyone any harm
","hard anybody never did outgun any harm
","hard anybody never did blowgun any harm
"
"Haste makes waste
","waist_disposal makes waist
","aist makes aist
"
"He that goes a-borrowing, goes a-sorrowing
","he that goes a-borrowing, goes a-sorrowing
","he that goes a-borrowing, goes a-sorrowing
"
"He who can does, he who cannot, teaches
","he who can does, he who cannot, reaches
","he who can does, he who cannot, beaches
"
"He who fights and runs away, may live to fight another day
","he who fights and runs away, may live to fight another disobey
","he who fights and runs away, may live to fight another a.
"
"He who hesitates is lost
","he who hesitates is tossed
","he who hesitates is embossed
"
"He who laughs last laughs longest
","he who fraph's last fraph's longest
","he who crafts last crafts longest
"
"He who lives by the sword shall die by the sword
","he who lives by the shoring shall die by the shoring
","he who lives by the pact shall die by the pact
"
"He who pays the piper calls the tune
","he who pays the pm calls the noon
","he who pays the morning calls the afternoon
"
"He who sups with the Devil should have a long spoon
","he who sups with the revel should have a long keune
","he who sups with the morning should have a long afternoon
"
"Hell hath no fury like a woman scorned
","neutron_flux hath no curie like a woman scorned
","accel hath no arcuri like a woman scorned
"
"Hindsight is always twenty-twenty
","drumwright is always twenty-twenty
","acolyte is always twenty-twenty
"
"History repeats itself
","authoritarians elites itself
","rollaway backseats itself
"
"Home is where the heart is
","catherine is where the bart is
","bloem is where the bossart is
"
"Honesty is the best policy
","honesty is the best policy
","honesty is the best policy
"
"Hope springs eternal
","knope wing's eternal
","evokes brings eternal
"
"Horses for courses
","Courses for horses
","Courses for horses
"
"If anything can go wrong, it will
","if manring can go wrong, it will
","if everything can go wrong, it will
"
"If a job is worth doing it is worth doing well
","if a blob is worth doing it is worth doing well
","if a baab is worth doing it is worth doing well
"
"If at first you don't succeed try, try and try again
","if at first you don't succeed try, try and try oilmen
","if at first you don't succeed try, try and try then
"
"If God had meant us to fly he'd have given us wings
","if god had meant us to fly he'd have given us springs
","if god had meant us to fly he'd have given us brings
"
"If ifs and ands were pots and pans there'd be no work for tinkers
","if brand and brands were pots and pans there'd be no work for tinkers
","if cliffs and brandes were pots and pans there'd be no work for tinkers
"
"If it ain't broke, don't fix it
","if barritt ain't broke, don't fix barritt
","if writ ain't broke, don't fix writ
"
"If life deals you lemons, make lemonade
","if autos automobiles you lemons, make lemonade
","if appeal appeals you lemons, make lemonade
"
"If the cap fits, wear it
","if the knapp bitz, wear it
","if the indicts acquits, wear it
"
"If the mountain won't come to Mohammed, then Mohammed must go to the mountain
","if the fountains won't come to mohammed, then mohammed must go to the fountains
","if the fountains won't come to mohammed, then mohammed must go to the fountains
"
"If the shoe fits, wear it
","if the view ritts, wear it
","if the indicts acquits, wear it
"
"If wishes were horses, beggars would ride
","if niches were horse's, beggars would ride
","if Courses were courses, beggars would ride
"
"If you build it they will come
","if you build it they will become
","if you build it they will yum
"
"If you can't be good, be careful
","if you can't be good, be prayerful
","if you can't be good, be prayerful
"
"If you can't beat em, join em
","if you can't beat gemme, join gemme
","if you can't beat alem, join alem
"
"If you can't stand the heat get out of the kitchen
","if you can't stand the compete get out of the pichon
","if you can't stand the amit get out of the cichon
"
"If you lie down with dogs, you will get up with fleas
","if you lie down with perez, you will get up with leas
","if you lie down with bogs, you will get up with )un-parentheses
"
"If you pay peanuts, you get monkeys
","if you pay peanuts, you get monkey's
","if you pay addicts, you get junkies
"
"If you want a thing done well, do it yourself
","if you want a kwok-shing done well, do it yourself
","if you want a chang-ming done well, do it yourself
"
"Ignorance is bliss
","ignorance is bliss
","ignorance is bliss
"
"Imitation is the sincerest form of flattery
","rereforms is the sincerest reform of flattery
","conforms is the sincerest conform of flattery
"
"In for a penny, in for a pound
","in for a arounder, in for a around
","in for a abounded, in for a abound
"
"In the kingdom of the blind the one eyed man is king
","in the Mined of the mined the one eyed man is king
","in the binds of the bind the one eyed man is king
"
"In the midst of life we are in death
","in the amidst of slife we are in death
","in the Civil_War_reenactor of fife we are in death
"
"Into every life a little rain must fall
","into every streiff a little dayne must fall
","into every fife a little aine must fall
"
"It ain't over till the fat lady sings
","it ain't over till the fat mccrady beijing's
","it ain't over till the fat infuses brings
"
"It goes without saying
","it goes without fraying
","it goes without allaying
"
"It is best to be on the safe side
","it is best to be on the safe pool-side
","it is best to be on the safe alongside
"
"It is better to give than to receive
","it is better to give than to maariv
","it is better to give than to yves
"
"It is easy to be wise after the event
","it is easy to be wise after the spent
","it is easy to be wise after the accent
"
"It never rains but it pours
","it never rains but it azores
","it never rains but it zorz
"
"It takes a thief to catch a thief
","it takes a Relief to catch a Relief
","it takes a meat to catch a meat
"
"It takes all sorts to make a world
","it takes all supports to make a neworld
","it takes all aborts to make a neworld
"
"It takes one to know one
","it takes mun to know mun
","it takes outrun to know outrun
"
"It takes two to tango
","it takes two to durango
","it takes two to venango
"
"It's all grist to the mill
","it's all radiator_grille to the grille
","it's all Metropolitano_de to the abril
"
"It's an ill wind that blows no one any good
","it's an ill undid that blows no undone any good
","it's an ill bind that blows no aslan any good
"
"It's better to give than to receive
","it's better to give than to reave
","it's better to give than to yves
"
"It's better to have loved and lost than never to have loved at all
","it's better to have loved and lost than never to have loved at metall
","it's better to have loved and lost than never to have loved at engwall
"
"It's better to light a candle than curse the darkness
","it's better to light a yandle than curse the harkness
","it's better to light a andel than curse the harkness
"
"It's better to travel hopefully than to arrive
","it's better to travel hopefully than to alive
","it's better to travel hopefully than to vive
"
"It's never too late
","it's never too debate
","it's never too fete
"
"It's no use crying over spilt milk
","it's no reduce crying over spilt milke
","it's no dairy crying over spilt bilk
"
"It's no use locking the stable door after the horse has bolted
","it's no anymores locking the stable anymore after the horse has bolted
","it's no abhors locking the stable abhor after the horse has bolted
"
"It's the early bird that catches the worm
","it's the early squirming that catches the squirm
","it's the early dirt_berm that catches the berm
"
