proverbs680,proverbs680_modified_criteria_0,proverbs680_modified_criteria_1
"It's the empty can that makes the most noise
","it's the empty can that makes the most aloys
","it's the empty can that makes the most boy's
"
"It's the singer not the song
","it's the slinger not the song
","it's the clinger not the song
"
"It's the squeaky wheel that gets the grease
","it's the squeaky riel that gets the grease
","it's the squeaky appeal that gets the grease
"
"Jack of all trades, master of none
","shack of all trades, master of none
","ack of all trades, master of none
"
"Judge not, that ye be not judged
","adjudge not, that ye be not adjudged
","adjudge not, that ye be not adjudged
"
"Keep your chin up
","keep your lin up
","keep your adin up
"
"Keep your friends close and your enemies closer
","keep your friends' close and your enemies closer
","keep your amends close and your enemies closer
"
"Keep your powder dry
","keep your lauder dry
","keep your bauder dry
"
"Laugh and the world laughs with you, weep and you weep alone
","fraph and the world fraphs with you, weep and you weep alone
","behalf and the world behalfs with you, weep and you weep alone
"
"Laughter is the best medicine
","thereafter is the best medicine
","drafter is the best medicine
"
"Least said, soonest mended
","ceased said, soonest mended
","bankeast said, soonest mended
"
"Less is more
","less is oar
","less is labore
"
"Let bygones be bygones
","let schiferon's be schiferon's
","let coupons be coupons
"
"Let not the sun go down on your wrath
","let not the rerun go down on your wrath
","let not the aslan go down on your wrath
"
"Let sleeping dogs lie
","let sleeping jogs lie
","let sleeping bogs lie
"
"Let the buyer beware
","let the dreier beware
","let the attire beware
"
"Let the dead bury the dead
","let the dead arie the dead
","let the dead aerie the dead
"
"Let the punishment fit the crime
","let the punishment fit the crime
","let the punishment fit the crime
"
"Let well alone
","let well cologne
","let well zone
"
"Life begins at forty
","streiff begins at forty
","fife begins at forty
"
"Life is just a bowl of cherries
","strife is just a bowl of cherries
","fife is just a bowl of cherries
"
"Life is what you make it
","fife is what you make it
","fife is what you make it
"
"Life's not all beer and skittles
","fyffe's not all beer and skittles
","fife's not all beer and skittles
"
"Lightning never strikes twice in the same place
","lightning never vikes twice in the same place
","lightning never alikes twice in the same place
"
"Like father, like son
","like father, like luhn
","like father, like aslan
"
"Little pitchers have big ears
","little switchers have big ears
","little switchers have big ears
"
"Little strokes fell great oaks
","little soaks fell great oaks
","little blokes fell great oaks
"
"Little things please little minds
","little springs please little minds
","little brings please little minds
"
"Live and learn
","live and urn
","live and zurn
"
"Live for today for tomorrow never comes
","clyve for today for tomorrow never comes
","dive for today for tomorrow never comes
"
"Look before you leap
","chinook before you leap
","betook before you leap
"
"Love of money is the root of all evil
","vanhove of money is the root of all evil
","belove of money is the root of all evil
"
"Love is blind
","thereof is blind
","belove is blind
"
"Love makes the world go round
","gov makes the world go round
","belove makes the world go round
"
"Love thy neighbour as thyself
","love thy naber as thyself
","love thy baber as thyself
"
"Love will find a way
","belove will find a way
","belove will find a way
"
"Make hay while the sun shines
","make antigay while the sun shines
","make a. while the sun shines
"
"Make love not war
","make vanhove not war
","make belove not war
"
"Man does not live by bread alone
","dyan does not live by bread alone
","ane does not live by bread alone
"
"Manners maketh man
","enchanter's maketh man
","banners maketh man
"
"Many a little makes a mickle
","many a little makes a nicholl
","many a little makes a bickel
"
"Many a mickle makes a muckle
","many a mickle makes a huckle
","many a mickle makes a buckel
"
"Many a true word is spoken in jest
","many a true transferred is spoken in jest
","many a true bird is spoken in jest
"
"Many are called but few are chosen
","many are called but few are rosen
","many are called but few are zosen
"
"Many hands make light work
","many landes make light work
","many ands make light work
"
"March comes in like a lion, and goes out like a lamb
","karcz comes in like a lion, and goes out like a lamb
","arch comes in like a lion, and goes out like a lamb
"
"March winds and April showers bring forth May flowers
","larch winds and april showers bring forth may flowers
","arch winds and april showers bring forth may flowers
"
"Marriages are made in heaven
","miscarriages are made in heaven
","claridges are made in heaven
"
"Marry in haste, repent at leisure
","maseri in haste, repent at leisure
","aerie in haste, repent at leisure
"
"Might is right
","might is alight
","might is alright
"
"Mighty oaks from little acorns grow
","mighty oakes from little acorns grow
","mighty blokes from little acorns grow
"
"Misery loves company
","misery loves company
","misery loves company
"
"Moderation in all things
","illumination in all things
","abbreviation in all things
"
"Monday's child is fair of face, 
","bundy's child is fair of face, 
","burundi's child is fair of face, 
"
"Tuesday's child is full of grace,
","tuesday's child is full of grace,
","tuesday's child is full of grace,
"
"Wednesday's child is full of woe,
","wednesday's child is full of woe,
","wednesday's child is full of woe,
"
"Thursday's child has far to go,
","yohei's child has far to go,
","accuray's child has far to go,
"
"Friday's child is loving and giving,
","untidy's child is loving and giving,
","freidy's child is loving and giving,
"
"Saturday's child works hard for its living,
","saturday's child works hard for its living,
","saturday's child works hard for its living,
"
"And a child that's born on the Sabbath day
","and a reviled that's born on the sabbath day
","and a mild that's born on the sabbath day
"
"Is fair and wise and good and gay.
","is fair and whys and good and gay.
","is fair and advise and good and gay.
"
"Money doesn't grow on trees
","tunny doesn't grow on trees
","bunney doesn't grow on trees
"
"Money is the root of all evil
","honey is the root of all evil
","bunney is the root of all evil
"
"Money isn't everything
","sunny isn't everything
","bunney isn't everything
"
"Money makes the world go round
","honey makes the world go round
","bunney makes the world go round
"
"Money talks
","munni talks
","bunney talks
"
"More haste, less speed
","more unplaced, less speed
","more aist, less speed
"
"Music has charms to soothe the savage breast
","muzik has charms to soothe the savage breast
","cusick has charms to soothe the savage breast
"
"Nature abhors a vacuum
","denature abhors a vacuum
","denature abhors a vacuum
"
"Necessity is the mother of invention
","necessity is the mother of invention
","necessity is the mother of invention
"
"Needs must when the devil drives
","misdeeds must when the devil drives
","accedes must when the devil drives
"
"Ne'er cast a clout till May be out
","ne'er cast a bout till may be out
","ne'er cast a all-out till may be out
"
"Never give a sucker an even break
","never give a plucker an even break
","never give a brucker an even break
"
"Never go to bed on an argument
","never go to bed on an argument
","never go to bed on an argument
"
"Never judge a book by its cover
","never drudge a book by its cover
","never adjudge a book by its cover
"
"Never let the sun go down on your anger
","never let the luhn go down on your anger
","never let the aslan go down on your anger
"
"Never look a gift horse in the mouth
","never look a sniffed horse in the mouth
","never look a adrift horse in the mouth
"
"Never put off until tomorrow what you can do today
","never put off until arapaho what you can do today
","never put off until aburto what you can do today
"
"Never speak ill of the dead
","never speak gambill of the dead
","never speak abril of the dead
"
"Never tell tales out of school
","never tell veils out of school
","never tell abimaels out of school
"
"Nine tailors make a man
","nine mailer's make a man
","nine inhalers make a man
"
"No man can serve two masters
","no marianne can serve two masters
","no ane can serve two masters
"
"No man is an island
","no mcmahon is an island
","no ane is an island
"
"No names, no pack-drill
","no dames, no pack-drill
","no acclaims, no pack-drill
"
"No news is good news
","no chews is good chews
","no abuse is good abuse
"
"No one can make you feel inferior without your consent
","no brunn can make you feel inferior without your consent
","no aslan can make you feel inferior without your consent
"
"No pain, no gain
","no drain, no gain
","no aine, no gain
"
"No rest for the wicked
","no gest for the wicked
","no arrest for the wicked
"
"Nothing new under the sun
","nothing new under the sun
","nothing new under the sun
"
"Nothing is certain but death and taxes
","nothing is certain but death and taxes
","nothing is certain but death and taxes
"
"Nothing succeeds like success
","nothing succeeds like success
","nothing succeeds like success
"
"Nothing ventured, nothing gained
","nothing ventured, nothing gained
","nothing ventured, nothing gained
"
"Oil and water don't mix
","lukoil and water don't mix
","boil and water don't mix
"
"Old soldiers never die, they just fade away
","old soldier's never die, they just fade away
","old folgers never die, they just fade away
"
"Once a thief, always a thief
","once a keef, always a keef
","once a beef, always a beef
"
"Once bitten, twice shy
","once bitten, twice nearby
","once bitten, twice ai
"
"One good turn deserves another
","one good o'hearn deserves another
","one good adjourn deserves another
"
"One half of the world does not know how the other half lives
","one skaff of the world does not know how the other skaff lives
","one behalf of the world does not know how the other behalf lives
"
"One hand washes the other
","one offhand washes the other
","one band washes the other
"
"One man's meat is another man's poison
","one dyane's meat is another dyane's poison
","one ane's meat is another ane's poison
"
"One might as well be hanged for a sheep as a lamb
","kun might as well be hanged for a sheep as a lamb
","aslan might as well be hanged for a sheep as a lamb
"
"One law for the rich and another for the poor
","one robertshaw for the rich and another for the poor
","one aw for the rich and another for the poor
"
"One swallow does not make a summer
","one dalo does not make a summer
","one arebalo does not make a summer
"
"One volunteer is worth ten pressed men
","one appear is worth ten pressed men
","one amir is worth ten pressed men
"
"One year's seeding makes seven years weeding
","one nir's seeding makes seven nirs weeding
","one amir's seeding makes seven amirs weeding
"
"Only fools and horses work
","only pool's and horses work
","only cools and horses work
"
"Opportunity never knocks twice at any man's door
","immunity never knocks twice at any man's door
","community never knocks twice at any man's door
"
"Opposites attract
","opposites attract
","opposites attract
"
"Out of sight, out of mind
","out of white, out of mind
","out of beit, out of mind
"
"Parsley seed goes nine times to the Devil
","sparsely seed goes nine times to the devil
","sparsely seed goes nine times to the devil
"
"Patience is a virtue
","impatience is a virtue
","impatience is a virtue
"
"Pearls of wisdom
","girls of wisdom
","berles of wisdom
"
"Penny wise and pound foolish
","saraceni wise and pound foolish
","ankeney wise and pound foolish
"
"People who live in glass houses shouldn't throw stones
","businesspeople who live in glass houses shouldn't throw stones
","teeple who live in glass houses shouldn't throw stones
"
"Physician, heal thyself
","preignition, heal thyself
","abolition, heal thyself
"
"Possession is nine points of the law
","accession is nine points of the law
","accession is nine points of the law
"
"Power corrupts; absolute power corrupts absolutely
","schauer corrupts; absolute schauer corrupts absolutely
","auer corrupts; absolute auer corrupts absolutely
"
"Practice makes perfect
","practise makes perfect
","malpractice makes perfect
"
"Practice what you preach
","malpractice what you preach
","malpractice what you preach
"
"Prevention is better than cure
","nonintervention is better than cure
","apprehension is better than cure
"
"Pride goes before a fall
","heid goes before a fall
","alongside goes before a fall
"
"Procrastination is the thief of time
","filtration is the thief of time
","abbreviation is the thief of time
"
"Put your best foot forward
","put your best foote forward
","put your best afoot forward
"
"Rain before seven, fine before eleven
","aven before seven, fine before eleven
","aine before seven, fine before eleven
"
"Red sky at night shepherd's delight; red sky in the morning, shepherd's warning
","red drye at night shepherd's delight; red drye in the morning, shepherd's warning
","red ai at night shepherd's delight; red ai in the morning, shepherd's warning
"
"Revenge is a dish best served cold
","wenge is a dish best served cold
","avenge is a dish best served cold
"
"Revenge is sweet
","avenge is sweet
","avenge is sweet
"
"Rob Peter to pay Paul
","raabe peter to pay paul
","baab peter to pay paul
"
"Rome wasn't built in a day
","krome wasn't built in a day
","bloem wasn't built in a day
"
"See a pin and pick it up, all the day you'll have good luck; see a pin and let it lie, bad luck you'll have all day
","see a zinn and pick it up, all the day you'll have good luck; see a zinn and let it lie, bad luck you'll have all day
","see a adin and pick it up, all the day you'll have good luck; see a adin and let it lie, bad luck you'll have all day
"
"See no evil, hear no evil, speak no evil
","see no retrieval, hear no retrieval, speak no retrieval
","see no keevil, hear no keevil, speak no keevil
"
"Seeing is believing
","sightseeing is believing
","wellbeing is believing
"
"Seek and ye shall find
","manrique and ye shall find
","angelique and ye shall find
"
"Set a thief to catch a thief
","set a o'keefe to catch a o'keefe
","set a beef to catch a beef
"
"Share and share alike
","stare and stare alike
","abair and abair alike
"
"Shrouds have no pockets
","overcrowds have no pockets
","clouds have no pockets
"
"Silence is golden
","silence is golden
","silence is golden
"
"Slow but sure
","slow but fluhr
","slow but assure
"
"Softly, softly, catchee monkey
","softly, softly, catchee monkey
","softly, softly, catchee monkey
"
"Spare the rod and spoil the child
","spare the schaad and spoil the child
","spare the awad and spoil the child
"
"Speak as you find
","squeak as you find
","angelique as you find
"
"Speak softly and carry a big stick
","sheik softly and carry a big stick
","angelique softly and carry a big stick
"
"Sticks and stones may break my bones, but words will never hurt me
","depicts and stones may break my bones, but words will never hurt me
","bricks and stones may break my bones, but words will never hurt me
"
"Still waters run deep
","still water's run deep
","still daughters run deep
"
"Strike while the iron is hot
","dyck while the iron is hot
","bike while the iron is hot
"
"Stupid is as stupid does
","stupid is as stupid does
","stupid is as stupid does
"
"Success has many fathers, while failure is an orphan
","requests has many fathers, while failure is an orphan
","abs has many fathers, while failure is an orphan
"
"Take care of the pence and the pounds will take care of themselves
","take beaufrere of the pence and the pounds will take beaufrere of themselves
","take abair of the pence and the pounds will take abair of themselves
"
"Talk is cheap
","hauk is cheap
","balk is cheap
"
"Talk of the Devil, and he is bound to appear
","hawk of the devil, and he is bound to appear
","balk of the devil, and he is bound to appear
"
"Tell the truth and shame the Devil
","tell the pluth and shame the devil
","tell the bluth and shame the devil
"
"That which does not kill us makes us stronger
","that which does not kill us makes us longer
","that which does not kill us makes us longer
"
"The age of miracles is past
","the onstage of miracles is past
","the assuage of miracles is past
"
"The apple never falls far from the tree
","the grapple never falls far from the tree
","the chapel never falls far from the tree
"
"The best defence is a good offence
","the best whence is a good offence
","the best bence is a good offence
"
"The best is the enemy of the good
","the best is the archenemy of the good
","the best is the archenemy of the good
"
"The best-laid schemes of mice and men gang aft agley
","the best-laid supremes of mice and men gang aft agley
","the best-laid beams of mice and men gang aft agley
"
"The best things in life are free
","the best wings' in life are free
","the best brings in life are free
"
"The bigger, the better
","the bigger, the vetere
","the bigger, the yetter
"
"The bigger they are, the harder they fall
","the bigger they are, the yarder they fall
","the bigger they are, the ardor they fall
"
"The bottom line is the bottom line
","the bottom schlein is the bottom schlein
","the bottom align is the bottom align
"
"The boy is father to the man
","the foy is father to the man
","the ahoy is father to the man
"
"The bread always falls buttered side down
","the retread always falls buttered side down
","the behead always falls buttered side down
"
"The child is the father of the man
","the refiled is the father of the man
","the mild is the father of the man
"
"The cobbler always wears the worst shoes
","the gobbler always wears the worst shoes
","the gobbler always wears the worst shoes
"
"The course of true love never did run smooth
","the horse of true love never did run smooth
","the borse of true love never did run smooth
"
"The customer is always right
","the customer is always right
","the customer is always right
"
"The darkest hour is just before the dawn
","the darkest superpower is just before the dawn
","the darkest auer is just before the dawn
"
"The Devil finds work for idle hands to do
","the devil finds bourke for idle hands to do
","the devil finds berch for idle hands to do
"
"The Devil is in the details
","the bevil is in the details
","the bedevil is in the details
"
"The Devil looks after his own
","the dishevel looks after his own
","the bedevil looks after his own
"
"The early bird catches the worm
","the early reword catches the worm
","the early byrd catches the worm
"
"The end justifies the means
","the apprehend justifies the means
","the backend justifies the means
"
"The exception which proves the rule
","the contraception which proves the rule
","the conception which proves the rule
"
"The female of the species is more deadly than the male
","the cutrale of the species is more deadly than the male
","the airedale of the species is more deadly than the male
"
"The fruit does not fall far from the tree
","the shute does not fall far from the tree
","the astute does not fall far from the tree
"
"The good die young
","the good sai young
","the good ai young
"
"The grass is always greener on the other side of the fence
","the sas is always greener on the other side of the fence
","the amass is always greener on the other side of the fence
"
"The hand that rocks the cradle rules the world
","the spanned that rocks the cradle rules the world
","the band that rocks the cradle rules the world
"
"The husband is always the last to know
","the ex-husband is always the last to know
","the ex-husband is always the last to know
"
"The labourer is worthy of his hire
","the labourer is worthy of his hire
","the labourer is worthy of his hire
"
"The law is an ass
","the mcgraw is an ass
","the aw is an ass
"
"The leopard does not change his spots
","the eppard does not change his spots
","the peppard does not change his spots
"
"The longest journey starts with a single step
","the longest gurney starts with a single step
","the longest attorney starts with a single step
"
"The more the merrier
","the more the berrier
","the more the barrier
"
"The more things change, the more they stay the same
","the more pings change, the more they stay the same
","the more brings change, the more they stay the same
"
"The only good Indian is a dead Indian
","the only good amerindian is a dead amerindian
","the only good amerindian is a dead amerindian
"
"The opera ain't over till the fat lady sings
","the chopra ain't over till the fat lady sings
","the chopra ain't over till the fat lady sings
"
"The pen is mightier than sword
","the yuen is mightier than sword
","the aidenn is mightier than sword
"
"The price of liberty is eternal vigilance
","the entice of liberty is eternal vigilance
","the advice of liberty is eternal vigilance
"
"The proof of the pudding is in the eating
","the bufe of the pudding is in the eating
","the bufe of the pudding is in the eating
"
"The road to hell is paved with good intentions
","the grode to hell is paved with good intentions
","the abode to hell is paved with good intentions
"
"The shoemaker's son always goes barefoot
","the lawbreaker's son always goes barefoot
","the automaker's son always goes barefoot
"
"The squeaking wheel gets the grease
","the squeaking fiel gets the grease
","the squeaking appeal gets the grease
"
"The truth will out
","the puth will out
","the bluth will out
"
"The wages of sin is death
","the enrages of sin is death
","the enrages of sin is death
"
"The way to a man's heart is through his stomach
","the filet to a man's heart is through his stomach
","the a. to a man's heart is through his stomach
"
"The whole is greater than the sum of the parts
","the roll is greater than the sum of the parts
","the abrol is greater than the sum of the parts
"
"There are more ways of killing a cat than choking it with cream
","there are more essays of killing a cat than choking it with cream
","there are more arrays of killing a cat than choking it with cream
"
"There are none so blind as those, that will not see
","there are chunn so blind as those, that will not see
","there are aslan so blind as those, that will not see
"
"There are two sides to every question
","there are two hides to every question
","there are two abides to every question
"
"There but for the grace of God, go I
","there but for the right-brace of god, go i
","there but for the ace of god, go i
"
"There's a time and a place for everything
","there's a thyme and a place for everything
","there's a anticrime and a place for everything
"
"There's an exception to every rule
","there's an conception to every rule
","there's an conception to every rule
"
"There's always more fish in the sea
","there's always more fish in the flea
","there's always more fish in the abductee
"
"There's honour among thieves
","there's ahner among thieves
","there's afrikaner among thieves
"
"There's many a good tune played on an old fiddle
","there's many a good kuehne played on an old fiddle
","there's many a good afternoon played on an old fiddle
"
"There's many a slip 'twixt cup and lip
","there's many a slip 'twixt bupp and lip
","there's many a slip 'twixt bupp and lip
"
"There's more than one way to skin a cat
","there's more than one trey to skin a cat
","there's more than one a. to skin a cat
"
"There's no accounting for tastes
","there's no amounting for tastes
","there's no surmounting for tastes
"
"There's no fool like an old fool
","there's no yuille like an old yuille
","there's no apostolopoul like an old apostolopoul
"
"There's no place like home
","there's no apace like home
","there's no ace like home
"
"There's no smoke without fire
","there's no koch without fire
","there's no awoke without fire
"
"There's no such thing as a free lunch
","there's no such kring as a free lunch
","there's no such chang-ming as a free lunch
"
"There's no such thing as bad publicity
","there's no such unring as bad publicity
","there's no such chang-ming as bad publicity
"
"There's no time like the present
","there's no seim like the present
","there's no anticrime like the present
"
"There's none so blind as those who will not see
","there's number-one so blind as those who will not see
","there's aslan so blind as those who will not see
"
"There's none so deaf as those who will not hear
","there's homerun so deaf as those who will not hear
","there's aslan so deaf as those who will not hear
"
"There's nowt so queer as folk
","there's nowt so queer as folk
","there's nowt so queer as folk
"
"There's one born every minute
","there's one dorn every minute
","there's one bourn every minute
"
"There's safety in numbers
","there's flightsafety in numbers
","there's biosafety in numbers
"
"They that sow the wind, shall reap the whirlwind
","they that sow the fined, shall reap the whirlfined
","they that sow the bind, shall reap the whirlbind
"
"Third time lucky
","third haim lucky
","third anticrime lucky
"
"Those who do not learn from history are doomed to repeat it
","those who do not learn from mystery are doomed to repeat it
","those who do not learn from mystery are doomed to repeat it
"
"Those who live in glass houses shouldn't throw stones
","those who live in jas houses shouldn't throw stones
","those who live in amass houses shouldn't throw stones
"
"Those who sleep with dogs will rise with fleas
","those who sleep with scroggs will rise with fleas
","those who sleep with bogs will rise with fleas
"
"Thou shalt not kill
","disallow shalt not kill
","arau shalt not kill
"
"Time and tide wait for no man
","crime and tide wait for no man
","anticrime and tide wait for no man
"
"Time flies
","beim flies
","anticrime flies
"
"Time is a great healer
","beim is a great healer
","anticrime is a great healer
"
"Time is money
","part-time is money
","anticrime is money
"
"Time will tell
","beim will tell
","anticrime will tell
"
"'tis better to have loved and lost, than never to have loved at all
","'tis better to have loved and lost, than never to have loved at all
","'tis better to have loved and lost, than never to have loved at all
"
"To err is human; to forgive divine
","to err is human; to forgive wine
","to err is human; to forgive align
"
"To every thing there is a season
","to every ting there is a season
","to every chang-ming there is a season
"
"To the victor go the spoils
","to the richter go the spoils
","to the constrictor go the spoils
"
"To travel hopefully is a better thing than to arrive
","to travel hopefully is a better mei-ling than to arrive
","to travel hopefully is a better chang-ming than to arrive
"
"Tomorrow is another day
","tupelo is another day
","aburto is another day
"
"Tomorrow never comes
","dippolito never comes
","aburto never comes
"
"Too many cooks spoil the broth
","too many hooks spoil the broth
","too many books spoil the broth
"
"Truth is stranger than fiction
","youth is stranger than fiction
","bluth is stranger than fiction
"
"Truth will out
","sleuth will out
","bluth will out
"
"Two blacks don't make a white
","two lacks don't make a white
","two acts don't make a white
"
"Two heads are better than one
","two breads are better than one
","two beds are better than one
"
"Two is company, but three's a crowd
","two is bartee, but three's a crowd
","two is ability, but three's a crowd
"
"Two wrongs don't make a right
","two prolongs don't make a right
","two alongs don't make a right
"
"Variety is the spice of life
","propriety is the spice of life
","anxiety is the spice of life
"
"Virtue is its own reward
","virtue is its own reward
","virtue is its own reward
"
"Walls have ears
","rawles have ears
","alls have ears
"
"Walnuts and pears you plant for your heirs
","undercuts and pears you plant for your heirs
","clearcuts and pears you plant for your heirs
"
"Waste not want not
","spaced not want not
","aist not want not
"
"What can't be cured must be endured
","what can't be cured must be insured
","what can't be cured must be allured
"
"What goes up must come down
","what goes up must come lown
","what goes up must come uptown
"
"What you lose on the swings you gain on the roundabouts
","what you lose on the kings you gain on the roundabouts
","what you lose on the brings you gain on the roundabouts
"
"What's sauce for the goose is sauce for the gander
","what's yoss for the goose is yoss for the gander
","what's amoss for the goose is amoss for the gander
"
"When in Rome, do as the Romans do
","when in holm, do as the romans do
","when in bloem, do as the romans do
"
"When the cat's away the mice will play
","when the tat's away the mice will play
","when the arnatt's away the mice will play
"
"When the going gets tough, the tough get going
","when the going lorgnettes tough, the tough lorgnette going
","when the going abbetts tough, the tough abbett going
"
"When the oak is before the ash, then you will only get a splash; when the ash is before the oak, then you may expect a soak
","when the invoke is before the ash, then you will only get a splash; when the ash is before the invoke, then you may expect a sinvoke
","when the awoke is before the ash, then you will only get a splash; when the ash is before the awoke, then you may expect a sawoke
"
"What the eye doesn't see, the heart doesn't grieve over
","what the dwi doesn't see, the heart doesn't grieve over
","what the ai doesn't see, the heart doesn't grieve over
"
"Where there's a will there's a way
","where there's a will there's a faye
","where there's a will there's a a.
"
"Where there's muck there's brass
","where there's schuch there's brass
","where there's bruck there's brass
"
"While there's life there's hope
","while there's co-wife there's hope
","while there's fife there's hope
"
"Whom the Gods love die young
","whom the odds love die young
","whom the facades love die young
"
"Why keep a dog and bark yourself?
","why keep a haug and bark yourself?
","why keep a blog and bark yourself?
"
"Women and children first
","budiman and children first
","symon and children first
"
"Wonders will never cease
","blunders will never cease
","blunders will never cease
"
"Work expands so as to fill the time available
","magouirk expands so as to fill the time available
","berch expands so as to fill the time available
"
"Worrying never did anyone any good
","worrying never did overrun any good
","worrying never did blowgun any good
"
"You are never too old to learn
","you are never too old to urn
","you are never too old to zurn
"
"You are what you eat
","you are what you treat
","you are what you wheat
"
"You can choose your friends but you can't choose your family
","you can choose your backends but you can't choose your family
","you can choose your amends but you can't choose your family
"
"You can have too much of a good thing
","you can have too much of a good spring
","you can have too much of a good chang-ming
"
"You can lead a horse to water, but you can't make it drink
","you can lead a nourse to water, but you can't make it drink
","you can lead a borse to water, but you can't make it drink
"
"You can't have your cake and eat it
","you can't have your shrake and eat it
","you can't have your brake and eat it
"
"You can't get blood out of a stone
","you can't get blood out of a salone
","you can't get blood out of a arone
"
"You can't get blood out of a turnip
","you can't get blood out of a burnap
","you can't get blood out of a burnap
"
"You can't make a silk purse from a sow's ear
","you can't make a wilke purse from a sow's ear
","you can't make a bilk purse from a sow's ear
"
"You can't make an omelette without breaking eggs
","you can't make an omelette without breaking eggs
","you can't make an omelette without breaking eggs
"
"You can't make bricks without straw
","you can't make clicks without straw
","you can't make chicks without straw
"
"You can't run with the hare and hunt with the hounds
","you can't run with the scare and hunt with the hounds
","you can't run with the abair and hunt with the hounds
"
"You can't take it with you [when you die]
","you can't take it with you [when you die]
","you can't take it with you [when you die]
"
"You can't teach an old dog new tricks
","you can't teach an old cog new tricks
","you can't teach an old blog new tricks
"
"You can't judge a book by its cover
","you can't judge a chinook by its cover
","you can't judge a betook by its cover
"
"You can't win them all
","you can't win them thall
","you can't win them engwall
"
"You catch more flies with honey than with vinegar
","you catch more pint-size with honey than with vinegar
","you catch more allies with honey than with vinegar
"
"You pays your money and you takes your choice
","you pays your bunny and you takes your choice
","you pays your bunney and you takes your choice
"
"You reap what you sow
","you reap what you blau
","you reap what you powe
"
"You win some, you lose some
","you win gum, you lose gum
","you win yum, you lose yum
"
"Youth is wasted on the young
","wermuth is wasted on the young
","bluth is wasted on the young
"
"Wisdom comes with age
","wisdom comes with age
","wisdom comes with age
"
"Veni, vidi, vici: I came, I saw, I conquered.
","veni, vidi, vici: i came, i saw, i conquered.
","veni, vidi, vici: i came, i saw, i conquered.
"
"All the world's a stage.
","all the transworld's a stage.
","all the neworld's a stage.
"
